"Statistic Label","CensusYear","County","Sex","UNIT","VALUE"
"Population at Each Census","1901","Kilkenny","Both sexes","Number","79159"
"Population at Each Census","1901","Kilkenny","Male","Number","40095"
"Population at Each Census","1901","Kilkenny","Female","Number","39064"
"Population at Each Census","1901","Laois","Both sexes","Number","57417"
"Population at Each Census","1901","Laois","Male","Number","29694"
"Population at Each Census","1901","Laois","Female","Number","27723"
"Population at Each Census","1901","Longford","Both sexes","Number","46672"
"Population at Each Census","1901","Longford","Male","Number","23814"
"Population at Each Census","1901","Longford","Female","Number","22858"
"Population at Each Census","1901","Louth","Both sexes","Number","65820"
"Population at Each Census","1901","Louth","Male","Number","32666"
"Population at Each Census","1901","Louth","Female","Number","33154"
"Population at Each Census","1901","Meath","Both sexes","Number","67497"
"Population at Each Census","1901","Meath","Male","Number","34757"
"Population at Each Census","1901","Meath","Female","Number","32740"
"Population at Each Census","1901","Offaly","Both sexes","Number","60187"
"Population at Each Census","1901","Offaly","Male","Number","31065"
"Population at Each Census","1901","Offaly","Female","Number","29122"
"Population at Each Census","1901","Westmeath","Both sexes","Number","61629"
"Population at Each Census","1901","Westmeath","Male","Number","31880"
"Population at Each Census","1901","Westmeath","Female","Number","29749"
"Population at Each Census","1901","Wexford","Both sexes","Number","104104"
"Population at Each Census","1901","Wexford","Male","Number","51756"
"Population at Each Census","1901","Wexford","Female","Number","52348"
"Population at Each Census","1901","Wicklow","Both sexes","Number","60824"
"Population at Each Census","1901","Wicklow","Male","Number","30584"
"Population at Each Census","1901","Wicklow","Female","Number","30240"
"Population at Each Census","1901","Clare","Both sexes","Number","112334"
"Population at Each Census","1901","Clare","Male","Number","57386"
"Population at Each Census","1901","Clare","Female","Number","54948"
"Population at Each Census","1901","Cork","Both sexes","Number","404611"
"Population at Each Census","1901","Cork","Male","Number","202297"
"Population at Each Census","1901","Cork","Female","Number","202314"
"Population at Each Census","1901","Kerry","Both sexes","Number","165726"
"Population at Each Census","1901","Kerry","Male","Number","84427"
"Population at Each Census","1901","Kerry","Female","Number","81299"
"Population at Each Census","1901","Limerick","Both sexes","Number","146098"
"Population at Each Census","1901","Limerick","Male","Number","72456"
"Population at Each Census","1901","Limerick","Female","Number","73642"
"Population at Each Census","1901","Tipperary","Both sexes","Number","160232"
"Population at Each Census","1901","Tipperary","Male","Number","81399"
"Population at Each Census","1901","Tipperary","Female","Number","78833"
"Population at Each Census","1901","Waterford","Both sexes","Number","87187"
"Population at Each Census","1901","Waterford","Male","Number","43005"
"Population at Each Census","1901","Waterford","Female","Number","44182"
"Population at Each Census","1901","Galway","Both sexes","Number","192549"
"Population at Each Census","1901","Galway","Male","Number","97923"
"Population at Each Census","1901","Galway","Female","Number","94626"
"Population at Each Census","1901","Leitrim","Both sexes","Number","69343"
"Population at Each Census","1901","Leitrim","Male","Number","35098"
"Population at Each Census","1901","Leitrim","Female","Number","34245"
"Population at Each Census","1901","Mayo","Both sexes","Number","199166"
"Population at Each Census","1901","Mayo","Male","Number","97564"
"Population at Each Census","1901","Mayo","Female","Number","101602"
"Population at Each Census","1901","Roscommon","Both sexes","Number","101791"
"Population at Each Census","1901","Roscommon","Male","Number","51233"
"Population at Each Census","1901","Roscommon","Female","Number","50558"
"Population at Each Census","1901","Sligo","Both sexes","Number","84083"
"Population at Each Census","1901","Sligo","Male","Number","41849"
"Population at Each Census","1901","Sligo","Female","Number","42234"
"Population at Each Census","1901","Cavan","Both sexes","Number","97541"
"Population at Each Census","1901","Cavan","Male","Number","50087"
"Population at Each Census","1901","Cavan","Female","Number","47454"
"Population at Each Census","1901","Donegal","Both sexes","Number","173722"
"Population at Each Census","1901","Donegal","Male","Number","86444"
"Population at Each Census","1901","Donegal","Female","Number","87278"
"Population at Each Census","1901","Monaghan","Both sexes","Number","74611"
"Population at Each Census","1901","Monaghan","Male","Number","37108"
"Population at Each Census","1901","Monaghan","Female","Number","37503"
"Population at Each Census","1911","State","Both sexes","Number","3139688"
"Population at Each Census","1911","State","Male","Number","1589509"
"Population at Each Census","1911","State","Female","Number","1550179"
"Population at Each Census","1911","Carlow","Both sexes","Number","36252"
"Population at Each Census","1911","Carlow","Male","Number","18481"
"Population at Each Census","1911","Carlow","Female","Number","17771"
"Population at Each Census","1911","Dublin","Both sexes","Number","477196"
"Population at Each Census","1911","Dublin","Male","Number","226364"
"Population at Each Census","1911","Dublin","Female","Number","250832"
"Population at Each Census","1911","Kildare","Both sexes","Number","66627"
"Population at Each Census","1911","Kildare","Male","Number","37684"
"Population at Each Census","1911","Kildare","Female","Number","28943"
"Population at Each Census","1911","Kilkenny","Both sexes","Number","74962"
"Population at Each Census","1911","Kilkenny","Male","Number","38551"
"Population at Each Census","1911","Kilkenny","Female","Number","36411"
"Population at Each Census","1911","Laois","Both sexes","Number","54629"
"Population at Each Census","1911","Laois","Male","Number","28711"
"Population at Each Census","1911","Laois","Female","Number","25918"
"Population at Each Census","1911","Longford","Both sexes","Number","43820"
"Population at Each Census","1911","Longford","Male","Number","22656"
"Population at Each Census","1911","Longford","Female","Number","21164"
"Population at Each Census","1911","Louth","Both sexes","Number","63665"
"Population at Each Census","1911","Louth","Male","Number","32191"
"Population at Each Census","1911","Louth","Female","Number","31474"
"Population at Each Census","1911","Meath","Both sexes","Number","65091"
"Population at Each Census","1911","Meath","Male","Number","33934"
"Population at Each Census","1911","Meath","Female","Number","31157"
"Population at Each Census","1911","Offaly","Both sexes","Number","56832"
"Population at Each Census","1911","Offaly","Male","Number","29804"
"Population at Each Census","1911","Offaly","Female","Number","27028"
"Population at Each Census","1911","Westmeath","Both sexes","Number","59986"
"Population at Each Census","1911","Westmeath","Male","Number","31910"
"Population at Each Census","1911","Westmeath","Female","Number","28076"
"Population at Each Census","1911","Wexford","Both sexes","Number","102273"
"Population at Each Census","1911","Wexford","Male","Number","51568"
"Population at Each Census","1911","Wexford","Female","Number","50705"
"Population at Each Census","1911","Wicklow","Both sexes","Number","60711"
"Population at Each Census","1911","Wicklow","Male","Number","31113"
"Population at Each Census","1911","Wicklow","Female","Number","29598"
"Population at Each Census","1911","Clare","Both sexes","Number","104232"
"Population at Each Census","1911","Clare","Male","Number","53877"
"Population at Each Census","1911","Clare","Female","Number","50355"
"Population at Each Census","1911","Cork","Both sexes","Number","392104"
"Population at Each Census","1911","Cork","Male","Number","197516"
"Population at Each Census","1911","Cork","Female","Number","194588"
"Population at Each Census","1911","Kerry","Both sexes","Number","159691"
"Population at Each Census","1911","Kerry","Male","Number","81474"
"Population at Each Census","1911","Kerry","Female","Number","78217"
"Population at Each Census","1911","Limerick","Both sexes","Number","143069"
"Population at Each Census","1911","Limerick","Male","Number","72229"
"Population at Each Census","1911","Limerick","Female","Number","70840"
"Population at Each Census","1911","Tipperary","Both sexes","Number","152433"
"Population at Each Census","1911","Tipperary","Male","Number","78584"
"Population at Each Census","1911","Tipperary","Female","Number","73849"
"Population at Each Census","1911","Waterford","Both sexes","Number","83966"
"Population at Each Census","1911","Waterford","Male","Number","42450"
"Population at Each Census","1911","Waterford","Female","Number","41516"
"Population at Each Census","1911","Galway","Both sexes","Number","182224"
"Population at Each Census","1911","Galway","Male","Number","94403"
"Population at Each Census","1911","Galway","Female","Number","87821"
"Population at Each Census","1911","Leitrim","Both sexes","Number","63582"
"Population at Each Census","1911","Leitrim","Male","Number","32759"
"Population at Each Census","1911","Leitrim","Female","Number","30823"
"Population at Each Census","1911","Mayo","Both sexes","Number","192177"
"Population at Each Census","1911","Mayo","Male","Number","96345"
"Population at Each Census","1911","Mayo","Female","Number","95832"
"Population at Each Census","1911","Roscommon","Both sexes","Number","93956"
"Population at Each Census","1911","Roscommon","Male","Number","48522"
"Population at Each Census","1911","Roscommon","Female","Number","45434"
"Population at Each Census","1911","Sligo","Both sexes","Number","79045"
"Population at Each Census","1911","Sligo","Male","Number","40060"
"Population at Each Census","1911","Sligo","Female","Number","38985"
"Population at Each Census","1911","Cavan","Both sexes","Number","91173"
"Population at Each Census","1911","Cavan","Male","Number","47743"
"Population at Each Census","1911","Cavan","Female","Number","43430"
"Population at Each Census","1911","Donegal","Both sexes","Number","168537"
"Population at Each Census","1911","Donegal","Male","Number","84627"
"Population at Each Census","1911","Donegal","Female","Number","83910"
"Population at Each Census","1911","Monaghan","Both sexes","Number","71455"
"Population at Each Census","1911","Monaghan","Male","Number","35953"
"Population at Each Census","1911","Monaghan","Female","Number","35502"
"Population at Each Census","1926","State","Both sexes","Number","2971992"
"Population at Each Census","1926","State","Male","Number","1506889"
"Population at Each Census","1926","State","Female","Number","1465103"
"Population at Each Census","1926","Carlow","Both sexes","Number","34476"
"Population at Each Census","1926","Carlow","Male","Number","17802"
"Population at Each Census","1926","Carlow","Female","Number","16674"
"Population at Each Census","1926","Dublin","Both sexes","Number","505654"
"Population at Each Census","1926","Dublin","Male","Number","238995"
"Population at Each Census","1926","Dublin","Female","Number","266659"
"Population at Each Census","1926","Kildare","Both sexes","Number","58028"
"Population at Each Census","1926","Kildare","Male","Number","31987"
"Population at Each Census","1926","Kildare","Female","Number","26041"
"Population at Each Census","1926","Kilkenny","Both sexes","Number","70990"
"Population at Each Census","1926","Kilkenny","Male","Number","37084"
"Population at Each Census","1926","Kilkenny","Female","Number","33906"
"Population at Each Census","1926","Laois","Both sexes","Number","51540"
"Population at Each Census","1926","Laois","Male","Number","27198"
"Population at Each Census","1926","Laois","Female","Number","24342"
"Population at Each Census","1926","Longford","Both sexes","Number","39847"
"Population at Each Census","1926","Longford","Male","Number","20805"
"Population at Each Census","1926","Longford","Female","Number","19042"
"Population at Each Census","1926","Louth","Both sexes","Number","62739"
"Population at Each Census","1926","Louth","Male","Number","31749"
"Population at Each Census","1926","Louth","Female","Number","30990"
"Population at Each Census","1926","Meath","Both sexes","Number","62969"
"Population at Each Census","1926","Meath","Male","Number","33082"
"Population at Each Census","1926","Meath","Female","Number","29887"
"Population at Each Census","1926","Offaly","Both sexes","Number","52592"
"Population at Each Census","1926","Offaly","Male","Number","27566"
"Population at Each Census","1926","Offaly","Female","Number","25026"
"Population at Each Census","1926","Westmeath","Both sexes","Number","56818"
"Population at Each Census","1926","Westmeath","Male","Number","30151"
"Population at Each Census","1926","Westmeath","Female","Number","26667"
"Population at Each Census","1926","Wexford","Both sexes","Number","95848"
"Population at Each Census","1926","Wexford","Male","Number","48570"
"Population at Each Census","1926","Wexford","Female","Number","47278"
"Population at Each Census","1926","Wicklow","Both sexes","Number","57591"
"Population at Each Census","1926","Wicklow","Male","Number","28911"
"Population at Each Census","1926","Wicklow","Female","Number","28680"
"Population at Each Census","1926","Clare","Both sexes","Number","95064"
"Population at Each Census","1926","Clare","Male","Number","50071"
"Population at Each Census","1926","Clare","Female","Number","44993"
"Population at Each Census","1926","Cork","Both sexes","Number","365747"
"Population at Each Census","1926","Cork","Male","Number","183192"
"Population at Each Census","1926","Cork","Female","Number","182555"
"Population at Each Census","1926","Kerry","Both sexes","Number","149171"
"Population at Each Census","1926","Kerry","Male","Number","76863"
"Population at Each Census","1926","Kerry","Female","Number","72308"
"Population at Each Census","1926","Limerick","Both sexes","Number","140343"
"Population at Each Census","1926","Limerick","Male","Number","71172"
"Population at Each Census","1926","Limerick","Female","Number","69171"
"Population at Each Census","1926","Tipperary","Both sexes","Number","141015"
"Population at Each Census","1926","Tipperary","Male","Number","72904"
"Population at Each Census","1926","Tipperary","Female","Number","68111"
"Population at Each Census","1926","Waterford","Both sexes","Number","78562"
"Population at Each Census","1926","Waterford","Male","Number","39426"
"Population at Each Census","1926","Waterford","Female","Number","39136"
"Population at Each Census","1926","Galway","Both sexes","Number","169366"
"Population at Each Census","1926","Galway","Male","Number","88481"
"Population at Each Census","1926","Galway","Female","Number","80885"
"Population at Each Census","1926","Leitrim","Both sexes","Number","55907"
"Population at Each Census","1926","Leitrim","Male","Number","29247"
"Population at Each Census","1926","Leitrim","Female","Number","26660"
"Population at Each Census","1926","Mayo","Both sexes","Number","172690"
"Population at Each Census","1926","Mayo","Male","Number","86778"
"Population at Each Census","1926","Mayo","Female","Number","85912"
"Population at Each Census","1926","Roscommon","Both sexes","Number","83556"
"Population at Each Census","1926","Roscommon","Male","Number","43281"
"Population at Each Census","1926","Roscommon","Female","Number","40275"
"Population at Each Census","1926","Sligo","Both sexes","Number","71388"
"Population at Each Census","1926","Sligo","Male","Number","36666"
"Population at Each Census","1926","Sligo","Female","Number","34722"
"Population at Each Census","1926","Cavan","Both sexes","Number","82452"
"Population at Each Census","1926","Cavan","Male","Number","43550"
"Population at Each Census","1926","Cavan","Female","Number","38902"
"Population at Each Census","1926","Donegal","Both sexes","Number","152508"
"Population at Each Census","1926","Donegal","Male","Number","78100"
"Population at Each Census","1926","Donegal","Female","Number","74408"
"Population at Each Census","1926","Monaghan","Both sexes","Number","65131"
"Population at Each Census","1926","Monaghan","Male","Number","33258"
"Population at Each Census","1926","Monaghan","Female","Number","31873"
"Population at Each Census","1936","State","Both sexes","Number","2968420"
"Population at Each Census","1936","State","Male","Number","1520454"
"Population at Each Census","1936","State","Female","Number","1447966"
"Population at Each Census","1936","Carlow","Both sexes","Number","34452"
"Population at Each Census","1936","Carlow","Male","Number","18066"
"Population at Each Census","1936","Carlow","Female","Number","16386"
"Population at Each Census","1936","Dublin","Both sexes","Number","586925"
"Population at Each Census","1936","Dublin","Male","Number","277098"
"Population at Each Census","1936","Dublin","Female","Number","309827"
"Population at Each Census","1936","Kildare","Both sexes","Number","57892"
"Population at Each Census","1936","Kildare","Male","Number","31956"
"Population at Each Census","1936","Kildare","Female","Number","25936"
"Population at Each Census","1936","Kilkenny","Both sexes","Number","68614"
"Population at Each Census","1936","Kilkenny","Male","Number","36489"
"Population at Each Census","1936","Kilkenny","Female","Number","32125"
"Population at Each Census","1936","Laois","Both sexes","Number","50109"
"Population at Each Census","1936","Laois","Male","Number","27149"
"Population at Each Census","1936","Laois","Female","Number","22960"
"Population at Each Census","1936","Longford","Both sexes","Number","37847"
"Population at Each Census","1936","Longford","Male","Number","20152"
"Population at Each Census","1936","Longford","Female","Number","17695"
"Population at Each Census","1936","Louth","Both sexes","Number","64339"
"Population at Each Census","1936","Louth","Male","Number","32829"
"Population at Each Census","1936","Louth","Female","Number","31510"
"Population at Each Census","1936","Meath","Both sexes","Number","61405"
"Population at Each Census","1936","Meath","Male","Number","32501"
"Population at Each Census","1936","Meath","Female","Number","28904"
"Population at Each Census","1936","Offaly","Both sexes","Number","51308"
"Population at Each Census","1936","Offaly","Male","Number","27555"
"Population at Each Census","1936","Offaly","Female","Number","23753"
"Population at Each Census","1936","Westmeath","Both sexes","Number","54706"
"Population at Each Census","1936","Westmeath","Male","Number","29039"
"Population at Each Census","1936","Westmeath","Female","Number","25667"
"Population at Each Census","1936","Wexford","Both sexes","Number","94245"
"Population at Each Census","1936","Wexford","Male","Number","48577"
"Population at Each Census","1936","Wexford","Female","Number","45668"
"Population at Each Census","1936","Wicklow","Both sexes","Number","58569"
"Population at Each Census","1936","Wicklow","Male","Number","29868"
"Population at Each Census","1936","Wicklow","Female","Number","28701"
"Population at Each Census","1936","Clare","Both sexes","Number","89879"
"Population at Each Census","1936","Clare","Male","Number","47957"
"Population at Each Census","1936","Clare","Female","Number","41922"
"Population at Each Census","1936","Cork","Both sexes","Number","355957"
"Population at Each Census","1936","Cork","Male","Number","179620"
"Population at Each Census","1936","Cork","Female","Number","176337"
"Population at Each Census","1936","Kerry","Both sexes","Number","139834"
"Population at Each Census","1936","Kerry","Male","Number","73503"
"Population at Each Census","1936","Kerry","Female","Number","66331"
"Population at Each Census","1936","Limerick","Both sexes","Number","141153"
"Population at Each Census","1936","Limerick","Male","Number","72407"
"Population at Each Census","1936","Limerick","Female","Number","68746"
"Population at Each Census","1936","Tipperary","Both sexes","Number","137835"
"Population at Each Census","1936","Tipperary","Male","Number","72397"
"Population at Each Census","1936","Tipperary","Female","Number","65438"
"Population at Each Census","1936","Waterford","Both sexes","Number","77614"
"Population at Each Census","1936","Waterford","Male","Number","39528"
"Population at Each Census","1936","Waterford","Female","Number","38086"
"Population at Each Census","1936","Galway","Both sexes","Number","168198"
"Population at Each Census","1936","Galway","Male","Number","89170"
"Population at Each Census","1936","Galway","Female","Number","79028"
"Population at Each Census","1936","Leitrim","Both sexes","Number","50908"
"Population at Each Census","1936","Leitrim","Male","Number","27337"
"Population at Each Census","1936","Leitrim","Female","Number","23571"
"Population at Each Census","1936","Mayo","Both sexes","Number","161349"
"Population at Each Census","1936","Mayo","Male","Number","83213"
"Population at Each Census","1936","Mayo","Female","Number","78136"
"Population at Each Census","1936","Roscommon","Both sexes","Number","77566"
"Population at Each Census","1936","Roscommon","Male","Number","41308"
"Population at Each Census","1936","Roscommon","Female","Number","36258"
"Population at Each Census","1936","Sligo","Both sexes","Number","67447"
"Population at Each Census","1936","Sligo","Male","Number","35371"
"Population at Each Census","1936","Sligo","Female","Number","32076"
"Population at Each Census","1936","Cavan","Both sexes","Number","76670"
"Population at Each Census","1936","Cavan","Male","Number","41446"
"Population at Each Census","1936","Cavan","Female","Number","35224"
"Population at Each Census","1936","Donegal","Both sexes","Number","142310"
"Population at Each Census","1936","Donegal","Male","Number","73924"
"Population at Each Census","1936","Donegal","Female","Number","68386"
"Population at Each Census","1936","Monaghan","Both sexes","Number","61289"
"Population at Each Census","1936","Monaghan","Male","Number","31994"
"Population at Each Census","1936","Monaghan","Female","Number","29295"
"Population at Each Census","1946","State","Both sexes","Number","2955107"
"Population at Each Census","1946","State","Male","Number","1494877"
"Population at Each Census","1946","State","Female","Number","1460230"
"Population at Each Census","1946","Carlow","Both sexes","Number","34081"
"Population at Each Census","1946","Carlow","Male","Number","17702"
"Population at Each Census","1946","Carlow","Female","Number","16379"
"Population at Each Census","1946","Dublin","Both sexes","Number","636193"
"Population at Each Census","1946","Dublin","Male","Number","292205"
"Population at Each Census","1946","Dublin","Female","Number","343988"
"Population at Each Census","1946","Kildare","Both sexes","Number","64849"
"Population at Each Census","1946","Kildare","Male","Number","36057"
"Population at Each Census","1946","Kildare","Female","Number","28792"
"Population at Each Census","1946","Kilkenny","Both sexes","Number","66712"
"Population at Each Census","1946","Kilkenny","Male","Number","35464"
"Population at Each Census","1946","Kilkenny","Female","Number","31248"
"Population at Each Census","1946","Laois","Both sexes","Number","49697"
"Population at Each Census","1946","Laois","Male","Number","26751"
"Population at Each Census","1946","Laois","Female","Number","22946"
"Population at Each Census","1946","Longford","Both sexes","Number","36218"
"Population at Each Census","1946","Longford","Male","Number","19322"
"Population at Each Census","1946","Longford","Female","Number","16896"
"Population at Each Census","1946","Louth","Both sexes","Number","66194"
"Population at Each Census","1946","Louth","Male","Number","33399"
"Population at Each Census","1946","Louth","Female","Number","32795"
"Population at Each Census","1946","Meath","Both sexes","Number","66232"
"Population at Each Census","1946","Meath","Male","Number","34950"
"Population at Each Census","1946","Meath","Female","Number","31282"
"Population at Each Census","1946","Offaly","Both sexes","Number","53686"
"Population at Each Census","1946","Offaly","Male","Number","29311"
"Population at Each Census","1946","Offaly","Female","Number","24375"
"Population at Each Census","1946","Westmeath","Both sexes","Number","54949"
"Population at Each Census","1946","Westmeath","Male","Number","29058"
"Population at Each Census","1946","Westmeath","Female","Number","25891"
"Population at Each Census","1946","Wexford","Both sexes","Number","91855"
"Population at Each Census","1946","Wexford","Male","Number","46611"
"Population at Each Census","1946","Wexford","Female","Number","45244"
"Population at Each Census","1946","Wicklow","Both sexes","Number","60451"
"Population at Each Census","1946","Wicklow","Male","Number","30152"
"Population at Each Census","1946","Wicklow","Female","Number","30299"
"Population at Each Census","1946","Clare","Both sexes","Number","85064"
"Population at Each Census","1946","Clare","Male","Number","45350"
"Population at Each Census","1946","Clare","Female","Number","39714"
"Population at Each Census","1946","Cork","Both sexes","Number","343668"
"Population at Each Census","1946","Cork","Male","Number","171110"
"Population at Each Census","1946","Cork","Female","Number","172558"
"Population at Each Census","1946","Kerry","Both sexes","Number","133893"
"Population at Each Census","1946","Kerry","Male","Number","70113"
"Population at Each Census","1946","Kerry","Female","Number","63780"
"Population at Each Census","1946","Limerick","Both sexes","Number","142559"
"Population at Each Census","1946","Limerick","Male","Number","72039"
"Population at Each Census","1946","Limerick","Female","Number","70520"
"Population at Each Census","1946","Tipperary","Both sexes","Number","136014"
"Population at Each Census","1946","Tipperary","Male","Number","70999"
"Population at Each Census","1946","Tipperary","Female","Number","65015"
"Population at Each Census","1946","Waterford","Both sexes","Number","76108"
"Population at Each Census","1946","Waterford","Male","Number","38087"
"Population at Each Census","1946","Waterford","Female","Number","38021"
"Population at Each Census","1946","Galway","Both sexes","Number","165201"
"Population at Each Census","1946","Galway","Male","Number","87435"
"Population at Each Census","1946","Galway","Female","Number","77766"
"Population at Each Census","1946","Leitrim","Both sexes","Number","44591"
"Population at Each Census","1946","Leitrim","Male","Number","24065"
"Population at Each Census","1946","Leitrim","Female","Number","20526"
"Population at Each Census","1946","Mayo","Both sexes","Number","148120"
"Population at Each Census","1946","Mayo","Male","Number","75073"
"Population at Each Census","1946","Mayo","Female","Number","73047"
"Population at Each Census","1946","Roscommon","Both sexes","Number","72510"
"Population at Each Census","1946","Roscommon","Male","Number","38845"
"Population at Each Census","1946","Roscommon","Female","Number","33665"
"Population at Each Census","1946","Sligo","Both sexes","Number","62375"
"Population at Each Census","1946","Sligo","Male","Number","32376"
"Population at Each Census","1946","Sligo","Female","Number","29999"
"Population at Each Census","1946","Cavan","Both sexes","Number","70355"
"Population at Each Census","1946","Cavan","Male","Number","38121"
"Population at Each Census","1946","Cavan","Female","Number","32234"
"Population at Each Census","1946","Donegal","Both sexes","Number","136317"
"Population at Each Census","1946","Donegal","Male","Number","70269"
"Population at Each Census","1946","Donegal","Female","Number","66048"
"Population at Each Census","1946","Monaghan","Both sexes","Number","57215"
"Population at Each Census","1946","Monaghan","Male","Number","30013"
"Population at Each Census","1946","Monaghan","Female","Number","27202"
"Population at Each Census","1951","State","Both sexes","Number","2960593"
"Population at Each Census","1951","State","Male","Number","1506597"
"Population at Each Census","1951","State","Female","Number","1453996"
"Population at Each Census","1951","Carlow","Both sexes","Number","34162"
"Population at Each Census","1951","Carlow","Male","Number","17848"
"Population at Each Census","1951","Carlow","Female","Number","16314"
"Population at Each Census","1951","Dublin","Both sexes","Number","693022"
"Population at Each Census","1951","Dublin","Male","Number","326126"
"Population at Each Census","1951","Dublin","Female","Number","366896"
"Population at Each Census","1951","Kildare","Both sexes","Number","66437"
"Population at Each Census","1951","Kildare","Male","Number","36364"
"Population at Each Census","1951","Kildare","Female","Number","30073"
"Population at Each Census","1951","Kilkenny","Both sexes","Number","65235"
"Population at Each Census","1951","Kilkenny","Male","Number","34687"
"Population at Each Census","1951","Kilkenny","Female","Number","30548"
"Population at Each Census","1951","Laois","Both sexes","Number","48430"
"Population at Each Census","1951","Laois","Male","Number","26154"
"Population at Each Census","1951","Laois","Female","Number","22276"
"Population at Each Census","1951","Longford","Both sexes","Number","34553"
"Population at Each Census","1951","Longford","Male","Number","18388"
"Population at Each Census","1951","Longford","Female","Number","16165"
"Population at Each Census","1951","Louth","Both sexes","Number","68771"
"Population at Each Census","1951","Louth","Male","Number","34886"
"Population at Each Census","1951","Louth","Female","Number","33885"
"Population at Each Census","1951","Meath","Both sexes","Number","66337"
"Population at Each Census","1951","Meath","Male","Number","34980"
"Population at Each Census","1951","Meath","Female","Number","31357"
"Population at Each Census","1951","Offaly","Both sexes","Number","52544"
"Population at Each Census","1951","Offaly","Male","Number","28306"
"Population at Each Census","1951","Offaly","Female","Number","24238"
"Population at Each Census","1951","Westmeath","Both sexes","Number","54463"
"Population at Each Census","1951","Westmeath","Male","Number","28737"
"Population at Each Census","1951","Westmeath","Female","Number","25726"
"Population at Each Census","1951","Wexford","Both sexes","Number","90032"
"Population at Each Census","1951","Wexford","Male","Number","45945"
"Population at Each Census","1951","Wexford","Female","Number","44087"
"Population at Each Census","1951","Wicklow","Both sexes","Number","62590"
"Population at Each Census","1951","Wicklow","Male","Number","31587"
"Population at Each Census","1951","Wicklow","Female","Number","31003"
"Population at Each Census","1951","Clare","Both sexes","Number","81329"
"Population at Each Census","1951","Clare","Male","Number","43473"
"Population at Each Census","1951","Clare","Female","Number","37856"
"Population at Each Census","1951","Cork","Both sexes","Number","341284"
"Population at Each Census","1951","Cork","Male","Number","170865"
"Population at Each Census","1951","Cork","Female","Number","170419"
"Population at Each Census","1951","Kerry","Both sexes","Number","126644"
"Population at Each Census","1951","Kerry","Male","Number","66507"
"Population at Each Census","1951","Kerry","Female","Number","60137"
"Population at Each Census","1951","Limerick","Both sexes","Number","141239"
"Population at Each Census","1951","Limerick","Male","Number","71691"
"Population at Each Census","1951","Limerick","Female","Number","69548"
"Population at Each Census","1951","Tipperary","Both sexes","Number","133313"
"Population at Each Census","1951","Tipperary","Male","Number","69866"
"Population at Each Census","1951","Tipperary","Female","Number","63447"
"Population at Each Census","1951","Waterford","Both sexes","Number","75061"
"Population at Each Census","1951","Waterford","Male","Number","37963"
"Population at Each Census","1951","Waterford","Female","Number","37098"
"Population at Each Census","1951","Galway","Both sexes","Number","160204"
"Population at Each Census","1951","Galway","Male","Number","85141"
"Population at Each Census","1951","Galway","Female","Number","75063"
"Population at Each Census","1951","Leitrim","Both sexes","Number","41209"
"Population at Each Census","1951","Leitrim","Male","Number","22374"
"Population at Each Census","1951","Leitrim","Female","Number","18835"
"Population at Each Census","1951","Mayo","Both sexes","Number","141867"
"Population at Each Census","1951","Mayo","Male","Number","73345"
"Population at Each Census","1951","Mayo","Female","Number","68522"
"Population at Each Census","1951","Roscommon","Both sexes","Number","68102"
"Population at Each Census","1951","Roscommon","Male","Number","36626"
"Population at Each Census","1951","Roscommon","Female","Number","31476"
"Population at Each Census","1951","Sligo","Both sexes","Number","60513"
"Population at Each Census","1951","Sligo","Male","Number","31469"
"Population at Each Census","1951","Sligo","Female","Number","29044"
"Population at Each Census","1951","Cavan","Both sexes","Number","66377"
"Population at Each Census","1951","Cavan","Male","Number","36187"
"Population at Each Census","1951","Cavan","Female","Number","30190"
"Population at Each Census","1951","Donegal","Both sexes","Number","131530"
"Population at Each Census","1951","Donegal","Male","Number","67964"
"Population at Each Census","1951","Donegal","Female","Number","63566"
"Population at Each Census","1951","Monaghan","Both sexes","Number","55345"
"Population at Each Census","1951","Monaghan","Male","Number","29118"
"Population at Each Census","1951","Monaghan","Female","Number","26227"
"Population at Each Census","1956","State","Both sexes","Number","2898264"
"Population at Each Census","1956","State","Male","Number","1462928"
"Population at Each Census","1956","State","Female","Number","1435336"
"Population at Each Census","1956","Carlow","Both sexes","Number","33888"
"Population at Each Census","1956","Carlow","Male","Number","17666"
"Population at Each Census","1956","Carlow","Female","Number","16222"
"Population at Each Census","1956","Dublin","Both sexes","Number","705781"
"Population at Each Census","1956","Dublin","Male","Number","329627"
"Population at Each Census","1956","Dublin","Female","Number","376154"
"Population at Each Census","1956","Kildare","Both sexes","Number","65915"
"Population at Each Census","1956","Kildare","Male","Number","35069"
"Population at Each Census","1956","Kildare","Female","Number","30846"
"Population at Each Census","1956","Kilkenny","Both sexes","Number","64089"
"Population at Each Census","1956","Kilkenny","Male","Number","33927"
"Population at Each Census","1956","Kilkenny","Female","Number","30162"
"Population at Each Census","1956","Laois","Both sexes","Number","47087"
"Population at Each Census","1956","Laois","Male","Number","25233"
"Population at Each Census","1956","Laois","Female","Number","21854"
"Population at Each Census","1956","Longford","Both sexes","Number","32969"
"Population at Each Census","1956","Longford","Male","Number","17477"
"Population at Each Census","1956","Longford","Female","Number","15492"
"Population at Each Census","1956","Louth","Both sexes","Number","69194"
"Population at Each Census","1956","Louth","Male","Number","34788"
"Population at Each Census","1956","Louth","Female","Number","34406"
"Population at Each Census","1956","Meath","Both sexes","Number","66762"
